Ciclo,Melhoria,Otimizado
0,555,482124
1,129,481995
2,14,481981
3,23,481958
4,32,481926
5,5,481921
6,118,481803
7,49,481754
8,28,481726
9,276,481450
10,87,481363
11,33,481330
12,403,480927
13,89,480838
14,36,480802
15,134,480668
16,199,480469
17,66,480403
18,156,480247
19,12,480235
20,104,480131
21,7,480124
22,726,479398
23,1574,477824
24,290,477534
25,311,477223
26,195,477028
27,391,476637
28,146,476491
29,998,475493
30,363,475130
31,705,474425
32,56,474369
33,1029,473340
34,402,472938
35,69,472869
36,69,472800
37,65,472735
38,130,472605
39,271,472334
40,400,471934
41,453,471481
42,1272,470209
43,58,470151
44,95,470056
45,42,470014
46,241,469773
47,23,469750
48,67,469683
49,518,469165
50,156,469009
51,623,468386
52,89,468297
53,163,468134
54,163,467971
55,204,467767
56,198,467569
57,99,467470
58,414,467056
59,221,466835
60,235,466600
61,183,466417
62,849,465568
63,200,465368
64,88,465280
65,253,465027
66,27,465000
67,16,464984
68,119,464865
69,711,464154
70,376,463778
71,148,463630
72,6,463624
73,79,463545
74,101,463444
75,115,463329
76,166,463163
77,202,462961
78,28,462933
79,7,462926
80,223,462703
81,223,462480
82,437,462043
83,484,461559
84,986,460573
85,278,460295
86,4692,455603
87,20,455583
88,614,454969
89,505,454464
90,46,454418
91,132,454286
92,252,454034
93,649,453385
94,384,453001
95,321,452680
96,61,452619
97,97,452522
98,33,452489
99,293,452196
100,377,451819
101,272,451547
102,27,451520
103,93,451427
104,595,450832
105,270,450562
106,14,450548
107,37,450511
108,102,450409
109,5,450404
110,103,450301
111,189,450112
112,131,449981
113,165,449816
114,48,449768
115,17,449751
116,203,449548
117,378,449170
118,36,449134
119,31,449103
120,65,449038
121,1627,447411
122,355,447056
123,13,447043
124,1102,445941
125,698,445243
126,60,445183
127,748,444435
128,503,443932
129,92,443840
130,359,443481
131,233,443248
132,197,443051
133,788,442263
134,174,442089
135,14,442075
136,75,442000
137,989,441011
138,453,440558
139,164,440394
140,138,440256
141,100,440156
142,122,440034
143,44,439990
144,203,439787
145,52,439735
146,113,439622
147,7,439615
148,411,439204
149,147,439057
150,182,438875
151,113,438762
152,6,438756
153,126,438630
154,24,438606
155,85,438521
156,188,438333
157,176,438157
158,251,437906
159,266,437640
160,242,437398
161,656,436742
162,19,436723
163,3,436720
164,66,436654
165,84,436570
166,95,436475
167,45,436430
168,68,436362
169,114,436248
170,365,435883
171,96,435787
172,315,435472
173,143,435329
174,237,435092
175,656,434436
176,509,433927
177,169,433758
178,14,433744
179,676,433068
180,8,433060
181,55,433005
182,118,432887
183,73,432814
184,842,431972
185,150,431822
186,57,431765
187,61,431704
188,282,431422
189,63,431359
190,41,431318
191,287,431031
192,233,430798
193,88,430710
194,263,430447
195,168,430279
196,90,430189
197,254,429935
198,279,429656
199,115,429541
200,133,429408
201,182,429226
202,411,428815
203,54,428761
204,186,428575
205,101,428474
206,99,428375
207,8,428367
208,245,428122
209,184,427938
210,79,427859
211,40,427819
212,314,427505
213,27,427478
214,63,427415
215,115,427300
216,682,426618
217,410,426208
218,282,425926
219,102,425824
220,299,425525
221,474,425051
222,192,424859
223,115,424744
224,67,424677
225,391,424286
226,552,423734
227,300,423434
228,3,423431
229,35,423396
230,63,423333
231,353,422980
232,44,422936
233,123,422813
234,35,422778
235,711,422067
236,70,421997
237,156,421841
238,158,421683
239,99,421584
240,101,421483
241,164,421319
242,251,421068
243,260,420808
244,668,420140
245,334,419806
246,48,419758
247,610,419148
248,81,419067
249,460,418607
250,15,418592
251,352,418240
252,21,418219
253,284,417935
254,583,417352
255,38,417314
256,106,417208
257,6,417202
258,16,417186
259,450,416736
260,162,416574
261,100,416474
262,86,416388
263,417,415971
264,396,415575
265,77,415498
266,99,415399
267,165,415234
268,105,415129
269,165,414964
270,175,414789
271,604,414185
272,108,414077
273,106,413971
274,59,413912
275,112,413800
276,24,413776
277,116,413660
278,101,413559
279,689,412870
280,286,412584
281,653,411931
282,153,411778
283,101,411677
284,113,411564
285,281,411283
286,39,411244
287,246,410998
288,293,410705
289,414,410291
290,60,410231
291,98,410133
292,357,409776
293,49,409727
294,114,409613
295,33,409580
296,2,409578
297,42,409536
298,118,409418
299,26,409392
300,352,409040
301,110,408930
302,101,408829
303,9,408820
304,111,408709
305,94,408615
306,223,408392
307,63,408329
308,62,408267
309,43,408224
310,37,408187
311,50,408137
312,134,408003
313,346,407657
314,30,407627
315,180,407447
316,84,407363
317,8,407355
318,75,407280
319,41,407239
320,116,407123
321,558,406565
322,473,406092
323,35,406057
324,139,405918
325,34,405884
326,10,405874
327,11,405863
328,92,405771
329,51,405720
330,1312,404408
331,94,404314
332,730,403584
333,188,403396
334,183,403213
335,160,403053
336,631,402422
337,349,402073
338,168,401905
339,358,401547
340,98,401449
341,344,401105
342,49,401056
343,82,400974
344,142,400832
345,48,400784
346,147,400637
347,52,400585
348,105,400480
349,333,400147
350,182,399965
351,166,399799
352,194,399605
353,108,399497
354,73,399424
