Ciclo,Melhoria,Otimizado
355,20,399404
356,553,398851
357,293,398558
358,103,398455
359,39,398416
360,945,397471
361,393,397078
362,11,397067
363,128,396939
364,103,396836
365,120,396716
366,753,395963
367,106,395857
368,27,395830
369,178,395652
370,54,395598
371,238,395360
372,75,395285
373,124,395161
374,217,394944
375,596,394348
376,421,393927
377,227,393700
378,286,393414
379,18,393396
380,573,392823
381,1888,390935
382,2282,388653
383,490,388163
384,31,388132
385,741,387391
386,156,387235
387,153,387082
388,44,387038
389,71,386967
390,179,386788
391,3,386785
392,252,386533
393,1046,385487
394,354,385133
395,215,384918
396,702,384216
397,80,384136
398,83,384053
399,43,384010
400,15,383995
401,84,383911
402,4,383907
403,206,383701
404,276,383425
405,762,382663
406,136,382527
407,165,382362
408,89,382273
409,110,382163
410,571,381592
411,235,381357
412,6,381351
413,272,381079
414,207,380872
415,82,380790
416,3396,377394
417,358,377036
418,269,376767
419,158,376609
420,133,376476
421,191,376285
422,73,376212
423,74,376138
424,87,376051
425,64,375987
426,29,375958
427,246,375712
428,52,375660
429,318,375342
430,59,375283
431,55,375228
432,40,375188
433,148,375040
434,186,374854
435,1,374853
436,52,374801
437,309,374492
438,496,373996
439,27,373969
440,41,373928
441,125,373803
442,529,373274
443,87,373187
444,251,372936
445,68,372868
446,1078,371790
447,321,371469
448,6,371463
449,378,371085
450,26,371059
451,211,370848
452,43,370805
453,323,370482
454,104,370378
455,88,370290
456,71,370219
457,16,370203
458,10,370193
459,118,370075
460,327,369748
461,669,369079
462,140,368939
463,103,368836
464,277,368559
465,293,368266
466,112,368154
467,213,367941
468,200,367741
469,7,367734
470,397,367337
471,406,366931
472,142,366789
473,280,366509
474,16,366493
475,104,366389
476,214,366175
477,93,366082
478,285,365797
479,246,365551
480,65,365486
481,2,365484
482,139,365345
483,93,365252
484,93,365159
485,42,365117
486,36,365081
487,266,364815
488,202,364613
489,312,364301
490,176,364125
491,67,364058
492,182,363876
493,73,363803
494,6,363797
495,19,363778
496,98,363680
497,30,363650
498,206,363444
499,42,363402
500,383,363019
501,471,362548
502,99,362449
503,28,362421
504,298,362123
505,239,361884
506,33,361851
507,89,361762
508,18,361744
509,176,361568
510,233,361335
511,268,361067
512,44,361023
513,128,360895
514,13,360882
515,37,360845
516,71,360774
517,44,360730
518,137,360593
519,156,360437
520,2,360435
521,390,360045
522,181,359864
523,771,359093
524,67,359026
525,10,359016
526,24,358992
527,76,358916
528,278,358638
529,60,358578
530,98,358480
531,141,358339
532,103,358236
533,47,358189
534,76,358113
535,30,358083
536,24,358059
537,174,357885
538,20,357865
539,365,357500
540,69,357431
541,68,357363
542,132,357231
543,124,357107
544,63,357044
545,196,356848
546,145,356703
547,276,356427
548,37,356390
549,9,356381
550,93,356288
551,626,355662
552,143,355519
553,299,355220
554,1172,354048
555,785,353263
556,29,353234
557,150,353084
558,151,352933
559,10,352923
560,44,352879
561,76,352803
562,31,352772
563,179,352593
564,151,352442
565,296,352146
566,538,351608
567,299,351309
568,96,351213
569,71,351142
570,324,350818
571,126,350692
572,36,350656
573,404,350252
574,44,350208
575,332,349876
576,166,349710
577,42,349668
578,36,349632
579,146,349486
580,224,349262
581,223,349039
582,688,348351
583,142,348209
584,229,347980
585,205,347775
586,64,347711
587,442,347269
588,97,347172
589,82,347090
590,290,346800
591,151,346649
592,207,346442
593,114,346328
594,230,346098
595,217,345881
596,630,345251
597,97,345154
598,540,344614
599,103,344511
600,556,343955
601,278,343677
602,1164,342513
603,220,342293
604,1554,340739
605,287,340452
606,93,340359
607,191,340168
608,991,339177
609,73,339104
610,602,338502
611,26,338476
612,23,338453
613,268,338185
614,122,338063
615,204,337859
616,192,337667
617,65,337602
618,59,337543
619,19,337524
620,224,337300
621,544,336756
622,435,336321
623,3,336318
624,70,336248
625,143,336105
626,55,336050
627,360,335690
628,223,335467
629,29,335438
630,93,335345
631,89,335256
632,40,335216
633,328,334888
634,82,334806
635,68,334738
636,69,334669
637,169,334500
638,256,334244
639,14,334230
640,159,334071
641,84,333987
642,297,333690
643,160,333530
644,181,333349
645,48,333301
646,148,333153
647,192,332961
648,52,332909
649,42,332867
650,306,332561
651,11,332550
652,10,332540
653,93,332447
654,86,332361
655,184,332177
656,601,331576
657,261,331315
658,118,331197
659,209,330988
660,91,330897
661,118,330779
662,88,330691
663,135,330556
664,500,330056
665,36,330020
666,4,330016
667,16,330000
668,11,329989
669,24,329965
670,361,329604
671,64,329540
672,816,328724
673,297,328427
674,308,328119
675,250,327869
676,69,327800
677,26,327774
678,116,327658
679,91,327567
680,520,327047
681,44,327003
682,338,326665
683,3,326662
684,136,326526
685,130,326396
686,73,326323
687,41,326282
688,82,326200
689,155,326045
690,124,325921
691,290,325631
692,38,325593
693,7,325586
694,336,325250
695,53,325197
696,57,325140
697,190,324950
698,60,324890
699,27,324863
700,14,324849
701,95,324754
702,176,324578
703,60,324518
704,63,324455
705,6,324449
706,184,324265
707,241,324024
708,67,323957
709,35,323922
710,106,323816
711,50,323766
712,44,323722
713,179,323543
714,51,323492
715,124,323368
716,158,323210
717,490,322720
718,30,322690
719,81,322609
720,8,322601
721,7,322594
722,59,322535
723,361,322174
724,10,322164
725,16,322148
726,284,321864
727,39,321825
728,143,321682
729,105,321577
730,105,321472
731,156,321316
732,693,320623
733,8,320615
734,21,320594
735,170,320424
736,6,320418
737,134,320284
738,59,320225
739,37,320188
740,9,320179
741,84,320095
742,28,320067
743,15,320052
744,26,320026
745,54,319972
746,18,319954
747,88,319866
748,44,319822
749,169,319653
750,219,319434
751,95,319339
752,212,319127
753,976,318151
754,1017,317134
755,218,316916
756,573,316343
757,317,316026
758,15,316011
759,24,315987
760,80,315907
761,32,315875
762,172,315703
763,258,315445
764,196,315249
765,89,315160
766,32,315128
767,264,314864
768,79,314785
769,177,314608
770,421,314187
771,15,314172
772,259,313913
773,129,313784
774,55,313729
775,119,313610
776,24,313586
777,60,313526
778,58,313468
779,51,313417
780,85,313332
781,361,312971
782,48,312923
783,185,312738
784,179,312559
785,440,312119
786,89,312030
787,49,311981
788,138,311843
789,54,311789
790,117,311672
791,65,311607
792,5,311602
793,50,311552
794,237,311315
795,133,311182
796,4,311178
797,208,310970
798,144,310826
799,576,310250
800,21,310229
801,87,310142
802,58,310084
803,98,309986
804,149,309837
805,69,309768
806,197,309571
807,44,309527
808,907,308620
809,192,308428
810,105,308323
811,39,308284
812,1082,307202
813,266,306936
814,378,306558
815,295,306263
816,168,306095
817,370,305725
818,100,305625
819,28,305597
820,20,305577
821,469,305108
822,117,304991
823,200,304791
824,175,304616
825,72,304544
826,52,304492
827,57,304435
828,72,304363
829,670,303693
830,372,303321
831,623,302698
832,193,302505
833,102,302403
834,158,302245
835,148,302097
836,359,301738
837,91,301647
838,236,301411
839,7,301404
840,83,301321
841,289,301032
842,2,301030
843,55,300975
844,22,300953
845,40,300913
846,89,300824
847,61,300763
848,24,300739
849,76,300663
850,169,300494
851,112,300382
852,150,300232
853,51,300181
854,358,299823
855,96,299727
856,20,299707
857,16,299691
858,12,299679
859,153,299526
860,53,299473
861,90,299383
862,5,299378
863,107,299271
864,65,299206
865,80,299126
866,18,299108
867,176,298932
868,92,298840
869,72,298768
870,99,298669
871,136,298533
872,70,298463
873,206,298257
874,86,298171
875,340,297831
876,68,297763
877,12,297751
878,30,297721
879,23,297698
880,280,297418
881,77,297341
882,89,297252
883,101,297151
884,219,296932
885,67,296865
886,230,296635
887,79,296556
888,102,296454
889,22,296432
890,29,296403
891,124,296279
892,83,296196
893,9,296187
894,93,296094
895,235,295859
896,258,295601
897,46,295555
898,258,295297
899,133,295164
900,35,295129
901,23,295106
902,86,295020
903,53,294967
904,100,294867
905,9,294858
906,16,294842
907,140,294702
908,177,294525
909,106,294419
910,74,294345
911,3,294342
912,251,294091
913,57,294034
914,71,293963
915,3,293960
916,147,293813
917,10,293803
918,78,293725
919,10,293715
920,229,293486
921,225,293261
922,99,293162
923,29,293133
924,170,292963
925,29,292934
926,14,292920
927,208,292712
928,84,292628
929,77,292551
930,112,292439
931,205,292234
932,24,292210
933,242,291968
934,68,291900
935,139,291761
936,30,291731
937,62,291669
938,65,291604
939,62,291542
940,284,291258
941,64,291194
942,394,290800
943,24,290776
944,59,290717
